Category,Description,Units,2023,2024,YTD Current Month/2024,YTD Current Month/2025,YTD % Change,YE Previous Month/2025,YE Current Month/2024,YE Current Month/2025,YE % Change,Percent Share
800,SILK BLENDS OR NON-CTN VEG FIB YRN,$,495775,820842,206163,190674,-7.51,878350,640892,805353,25.66,13.32
810,"WOVEN FAB, SILK BLD&N-COT VEG FIB",$,16454021,18015889,4291091,4471699,4.21,18010550,16926154,18196497,7.51,14.13
831,"GLOVES & MITTENS, SILK & VEG BLEND",$,886044,98983,8955,22140,147.24,106151,693120,112168,-83.82,0.19
832,"HOSIERY, SILK & VEG BLENDS",$,1195228,1630361,605365,674011,11.34,1629589,1522959,1699007,11.56,12.68
833,"M&B SUIT-TYPE COATS, SLK & VEG",$,2650954,4387372,2077368,2488392,19.79,4858670,3574947,4798396,34.22,10.34
834,"OTHER M&B COATS, SILK & VEG",$,593520,615378,252091,207211,-17.80,561276,593103,570498,-3.81,1.60
835,"W&G COATS, SILK & VEG BLENDS",$,4372951,6602856,4074503,1841057,-54.82,4964899,5668225,4369410,-22.91,4.14
836,"DRESSES, SILK & VEG BLENDS",$,34167399,46705264,21035233,19260040,-8.44,45021462,37232307,44930071,20.67,15.61
838,"KNIT SHIRTS & BLOUSES, SILK & VEG",$,2450962,3824536,1106086,1009995,-8.69,3860497,3100853,3728445,20.24,2.01
839,BABY SILK/VEG GARM & CLOTH ACCESS,$,6065161,5622886,1883056,1339549,-28.86,5619329,6550910,5079379,-22.46,28.21
840,"N-KNIT SHIRTS & BLOUSES, SILK&VEG",$,78752857,99971205,45212294,58829095,30.12,108471004,84357821,113588006,34.65,24.39
842,"SKIRTS, SILK & VEG. BLENDS",$,4352491,5733949,2301854,3092648,34.35,5578170,4358809,6524743,49.69,13.63
843,"M&B SUITS, SILK & VEG BLENDS",$,230694,370066,81743,112678,37.84,414431,255604,401001,56.88,4.76
844,"W&G SUITS, SILK & VEG BLENDS",$,660859,783924,160069,178787,11.69,826203,584254,802642,37.38,28.26
845,"SWEATERS, OTH NON-COT VEG FIBERS",$,20385,87803,79044,9083,-88.51,9246,98538,17842,-81.89,0.06
846,"SWEATERS, SILK BLENDS",$,1080,2439,0,0,,2439,815,2439,199.26,0.08
847,"TROUSERS/BREECHES/SHORTS, SILK&VEG",$,35055426,42775191,20036595,23642640,18.00,46712629,34848398,46381236,33.09,9.80
850,"ROBES, DRESSING GOWNS, ETC, SILK&V",$,469532,359078,90051,81176,-9.86,366675,335786,350203,4.29,1.74
851,"NIGHTWEAR & PJ'S, SILK & VEG",$,558506,821219,381155,231545,-39.25,666023,741701,671609,-9.45,2.43
852,"UNDERWEAR, SILK & VEG BLENDS",$,1583361,714786,137261,375016,173.21,1053610,1533790,952541,-37.90,4.32
858,"NECKWEAR, SILK & VEG BLENDS",$,1157,46331,455,342,-24.84,46673,1265,46218,3553.60,0.38
859,OTHER SILK & NON-COT. VEG APPAREL,$,15031637,18960400,6484782,7188572,10.85,18691063,17456751,19664190,12.65,5.94
863,"TOWELS, SILK & VEG. BLENDS",$,1518931,1614239,303231,372721,22.92,1686675,1460324,1683729,15.30,4.42
870,"LUGGAGE, SILK & VEG. BLENDS",$,7276756,7197564,1251870,2658515,112.36,7813361,6640128,8604209,29.58,6.24
871,"HANDBAGS & FLATGOODS, SILK & VEG",$,5727240,6561122,1415845,2299051,62.38,6854498,6063062,7444328,22.78,7.96
899,OTH SILK & VEG BLEND MANUFACTURES,$,67086901,72225867,15848624,18664576,17.77,73297081,67049585,75041819,11.92,15.54
900,MISCELLANEOUS,$,946234101,1071128112,238855757,270890135,13.41,1104974056,970750325,1103162490,13.64,6.08
