country,total_quantity,total_value
Bangladesh,509635,32490923
India,374333,28070893
Vietnam,219352,24246907
Indonesia,113875,12082398
China,63734,4037125
Sri Lanka,58610,6452224
Cambodia,27561,2306981
Honduras,26664,4874226
Madagascar,17659,2384990
Mexico,17579,3645732
